"rules";"support";"confidence";"lift";"count"
"{} => {Sex: M}";0,546237519538103;0,546237519538103;1;17124
"{} => {Nature: PP}";0,87514753261667;0,87514753261667;1;27435
"{Complaint Sub_Type: DEFAUT CONSEIL} => {Nature: PP}";0,0102714600146735;0,925287356321839;1,05729299556528;322
"{SECTEUR PAYS ROCHOIS} => {REGION CO 74}";0,0102395610705286;1;11,679955290611;321
"{SECTEUR BERRY NORD VAL AUBOIS} => {REGION CO 18}";0,0102714600146735;1;22,4563037249284;322
"{SECTEUR GENEVOIS} => {REGION CO 74}";0,0103990557912533;1;11,679955290611;326
"{SECTEUR DOMBES VAL DE SAONE} => {REGION CO 01}";0,0107499441768477;1;11,4162418062637;337
"{SECTEUR LIMAGNE} => {REGION CO 63}";0,0107818431209927;1;12,9755794701987;338
"{SECTEUR COEUR BOURBONNAIS} => {REGION CO 03}";0,0110051357300073;1;14,433241252302;345
"{Complaint Sub_Type: DEFAUT INFO} => {Nature: PP}";0,0103352579029634;0,875675675675676;1,00060349031371;324
"{SECTEUR NORD NIEVRE} => {REGION CO 58}";0,0111327315065871;1;27,0483175150992;349
"{SECTEUR CHABLAIS} => {REGION CO 74}";0,0112603272831669;1;11,679955290611;353
"{Complaint Sub_Type: ENCAISSEMENT} => {Complaint Type: RECLAMATION COTISATION}";0,0122491945516603;1;8,06924066924067;384
"{Complaint Sub_Type: ENCAISSEMENT} => {Nature: PP}";0,0107818431209927;0,880208333333333;1,00578279721767;338
"{Survey Response: Med} => {Nature: PP}";0,0104309547353983;0,950581395348837;1,08619559550905;327
"{Complaint Sub_Type: CONSOMMATEURS} => {Nature: PP}";0,0106861462885578;0,861182519280206;0,984042675302175;335
"{SECTEUR ANNECY} => {REGION CO 74}";0,011866407221921;1;11,679955290611;372
"{SECTEUR ANNECY} => {Nature: PP}";0,0111327315065871;0,938172043010753;1,07201586937649;349
"{SECTEUR PILAT ONDAINE} => {REGION CO 42 43}";0,0121215987750805;1;7,32624444963777;380
"{SECTEUR PILAT ONDAINE} => {Nature: PP}";0,0108456410092826;0,894736842105263;1,02238400813406;340
"{SECTEUR CENTRE RHONE} => {REGION CO 69}";0,0121853966633704;1;6,69707327494125;382
"{SECTEUR CENTRE RHONE} => {Nature: PP}";0,011228428339022;0,921465968586387;1,05292643153689;352
"{SECTEUR MONTS DU LYONNAIS} => {REGION CO 69}";0,012472487160675;1;6,69707327494125;391
"{SECTEUR MONTS DU LYONNAIS} => {Nature: PP}";0,0103671568471084;0,831202046035806;0,949785053441825;325
"{SECTEUR ARAVIS LAC ALBANAIS} => {REGION CO 74}";0,0126000829372548;1;11,679955290611;395
"{SECTEUR ARAVIS LAC ALBANAIS} => {Nature: PP}";0,0109732367858624;0,870886075949367;0,99513058483458;344
